snapshot_id,snapshot_ts,reason,candle_open_time,candle_close_time,position_open_time,side,size,entry_px,fees,funding,realised_pnl,fill_type,balance,equity,upnl
23588,1732589400000,Interval,1732589400000,1732589459999,1732587720000,Long,367.2130839854,238.0400000000,26.2234207536,0.0000000000,0.0000000000,Market,12137.7099862642,12515.9394627692,378.2294765050
23589,1732590120000,Flatten,1732590120000,1732590179999,1732587720000,Long,367.2130839854,238.0400000000,26.2234207536,0.0000000000,0.0000000000,Market,12137.7099862642,12332.3329207765,194.6229345123
23590,1732590300000,Interval,1732590300000,1732590359999,1732587720000,Long,367.2130839854,238.0400000000,26.2234207536,0.0000000000,0.0000000000,Market,12137.7099862642,12214.8247339011,77.1147476369
23594,1732592160000,Open,1732592160000,1732592219999,1732592160000,Long,369.4931993310,237.4500000000,26.3208480543,0.0000000000,0.0000000000,Market,12165.9283598695,12213.9624757826,48.0341159130
23595,1732593000000,Interval,1732593000000,1732593059999,1732592160000,Long,369.4931993310,237.4500000000,26.3208480543,0.0000000000,0.0000000000,Market,12165.9283598695,12417.1837354146,251.2553755451
23596,1732593120000,Flatten,1732593120000,1732593179999,1732592160000,Long,369.4931993310,237.4500000000,26.3208480543,0.0000000000,0.0000000000,Market,12165.9283598695,12365.4546875083,199.5263276387
23648,1732638120000,Open,1732638120000,1732638179999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,12366.3603570498,53.9225985147
23649,1732638900000,Interval,1732638900000,1732638959999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,12778.4830742695,466.0453157345
23650,1732639800000,Interval,1732639800000,1732639859999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,12555.0894518513,242.6516933163
23651,1732640700000,Interval,1732640700000,1732640759999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,12478.0571682588,165.6194097238
23652,1732641600000,Interval,1732641600000,1732641659999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,12670.6378772400,358.2001187050
23653,1732642500000,Interval,1732642500000,1732642559999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,12662.9346488808,350.4968903458
23654,1732643400000,Interval,1732643400000,1732643459999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,12300.8829159962,-11.5548425389
